method,threshold_mean,threshold_std,threshold_min,threshold_25%,threshold_75%,threshold_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_25%,roc_auc_75%,roc_auc_max,tpr_mean,tpr_std,tpr_min,tpr_25%,tpr_75%,tpr_max,tnr_mean,tnr_std,tnr_min,tnr_25%,tnr_75%,tnr_max,geometric_mean_mean,geometric_mean_std,geometric_mean_min,geometric_mean_25%,geometric_mean_75%,geometric_mean_max,arithmetic_mean_mean,arithmetic_mean_std,arithmetic_mean_min,arithmetic_mean_25%,arithmetic_mean_75%,arithmetic_mean_max
../../partD-experiments/baselines/validation/d4_w32,0.0002,0.0002,0.0,0.0,0.0004,0.0005,0.7489,0.0339,0.6968,0.7254,0.7705,0.8023,0.9175,0.133,0.7184,0.8034,1.0,1.0,0.2091,0.3369,0.0,0.0,0.5085,0.7311,0.2132,0.3435,0.0,0.0,0.5235,0.7345,0.5633,0.1023,0.5,0.5,0.6487,0.7345
../../partD-experiments/baselines/validation/d2_w32,0.0,0.0,0.0,0.0,0.0,0.0,0.7653,0.0195,0.736,0.7505,0.7769,0.7936,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0006,0.0,0.0,0.0,0.0018,0.5,0.0,0.5,0.5,0.5,0.5
