,minority_size,tp,fp,tn,fn,tpr,tnr,roc_auc,geometric_mean,arithmetic_mean,f1_score,precision,layers,method
515,0.002,1329,601982,52063,0,1.0,0.07960199999999999,0.9992530000000001,0.28213699999999997,0.539801,0.004396,0.002203,2,baseline
516,0.002,1329,650575,3470,0,1.0,0.005305,0.996685,0.072838,0.502653,0.004069,0.002039,2,baseline
517,0.002,1321,548179,105866,8,0.99398,0.161863,0.990142,0.40110999999999997,0.577922,0.004796,0.002404,2,baseline
518,0.002,1321,459068,194977,8,0.99398,0.298109,0.9933290000000001,0.5443479999999999,0.646045,0.005722,0.002869,2,baseline
519,0.002,1329,644965,9080,0,1.0,0.013883000000000001,0.9951559999999999,0.117825,0.506941,0.004104,0.0020559999999999997,2,baseline
520,0.002,1321,515944,138101,8,0.99398,0.21114899999999998,0.9929049999999999,0.458124,0.602565,0.005095000000000001,0.002554,2,baseline
521,0.002,1329,650221,3824,0,1.0,0.005847,0.99884,0.076464,0.502923,0.004071,0.0020399999999999997,2,baseline
522,0.002,1329,653168,877,0,1.0,0.001341,0.9994280000000001,0.036618,0.50067,0.004053,0.002031,2,baseline
523,0.002,1329,647304,6741,0,1.0,0.010306999999999998,0.999366,0.101522,0.505153,0.004089,0.002049,2,baseline
524,0.002,1329,653918,127,0,1.0,0.000194,0.99939,0.013935,0.500097,0.0040479999999999995,0.0020280000000000003,2,baseline
525,0.002,1329,562781,91264,0,1.0,0.13953800000000002,0.997175,0.373548,0.569769,0.0047009999999999994,0.002356,2,baseline
526,0.002,1321,243391,410654,8,0.99398,0.627868,0.9943049999999999,0.7899930000000001,0.810924,0.010738,0.005398,2,baseline
527,0.002,1329,653654,391,0,1.0,0.000598,0.9931139999999999,0.02445,0.5002989999999999,0.00405,0.002029,4,baseline
528,0.002,1329,652726,1319,0,1.0,0.002017,0.9891120000000001,0.044907,0.501008,0.004056000000000001,0.002032,4,baseline
529,0.002,1324,642031,12014,5,0.996238,0.018369,0.987643,0.135276,0.507303,0.004107,0.002058,4,baseline
530,0.002,1324,644323,9722,5,0.996238,0.014863999999999999,0.991194,0.12169,0.505551,0.004093,0.0020510000000000003,4,baseline
531,0.002,1324,643916,10129,5,0.996238,0.015487,0.9897239999999999,0.12421099999999999,0.505862,0.0040950000000000005,0.002052,4,baseline
532,0.002,1324,643524,10521,5,0.996238,0.016086000000000003,0.992345,0.126592,0.506162,0.004098,0.002053,4,baseline
533,0.002,1324,642258,11787,5,0.996238,0.018022,0.990808,0.133992,0.50713,0.004106,0.0020570000000000002,4,baseline
534,0.002,1323,638137,15908,6,0.9954850000000001,0.024322,0.991253,0.155604,0.509904,0.004129,0.002069,4,baseline
535,0.002,1325,646586,7459,4,0.9969899999999999,0.011404000000000001,0.9913559999999999,0.10663099999999999,0.504197,0.004082,0.002045,4,baseline
536,0.002,1325,648399,5646,4,0.9969899999999999,0.008631999999999999,0.9922059999999999,0.092771,0.502811,0.004070000000000001,0.002039,4,baseline
537,0.002,1323,635227,18818,6,0.9954850000000001,0.028772000000000002,0.990332,0.169239,0.512129,0.004148,0.002078,4,baseline
538,0.002,1325,645724,8321,4,0.9969899999999999,0.012722,0.992767,0.112624,0.5048560000000001,0.0040869999999999995,0.002048,4,baseline
539,0.002,1329,653892,153,0,1.0,0.000234,0.9992969999999999,0.015295,0.500117,0.0040479999999999995,0.0020280000000000003,4,baseline
540,0.002,1324,645502,8543,5,0.996238,0.013062,0.992041,0.11407300000000001,0.50465,0.004085,0.0020469999999999998,4,baseline
541,0.002,1326,638382,15663,3,0.997743,0.023948,0.993826,0.154576,0.510845,0.004137,0.002073,4,baseline
542,0.002,1326,647781,6264,3,0.997743,0.009577,0.989758,0.09775299999999999,0.50366,0.004077,0.002043,4,baseline
543,0.002,1329,653991,54,0,1.0,8.3e-05,0.9989899999999999,0.009086,0.500041,0.0040479999999999995,0.0020280000000000003,4,baseline
544,0.002,1324,644743,9302,5,0.996238,0.014222,0.9903930000000001,0.11903299999999999,0.5052300000000001,0.00409,0.002049,4,baseline
